datetime,equity,net,label,side,trade_num
2017-01-03 15:53,4012.6,12.6,LONDON_1B1S,Sell,1
2017-01-05 17:05,4006.3,-6.3,LONDON_1B1S,Sell,2
2017-01-06 17:14,4032.7,26.4,LONDON_1B1S,Buy,3
2017-01-06 17:30,4035.7,3.0,RRL,Buy,4
2017-01-06 17:35,4038.3,2.6,RRL,Buy,5
2017-01-09 17:30,4023.6,-14.7,RRL,Buy,6
2017-01-09 17:35,4011.3,-12.3,RRL,Buy,7
2017-01-10 17:03,3935.7,-38.4,LONDON_1B1S,Buy,8
2017-01-10 17:30,3992.7,-18.6,RRL,Buy,9
2017-01-10 17:35,3974.1,-18.6,RRL,Buy,10
2017-01-12 15:37,3925.2,-10.5,LONDON_1B1S,Sell,11
2017-01-19 15:35,3888.0,-37.2,LONDON_1B1S,Buy,12
2017-01-20 15:35,3891.0,3.0,LONDON_1B1S,Buy,13
2017-01-23 15:35,3852.6,-38.4,LONDON_1B1S,Buy,14
2017-01-24 16:24,3904.8,52.2,LONDON_1B1S,Buy,15
2017-01-24 17:30,3925.2,20.4,RRL,Buy,16
2017-01-24 17:35,3944.7,19.5,RRL,Buy,17
2017-01-27 16:30,3943.3,-1.4,LONDON_1B1S,Sell,18
2017-02-02 15:44,3944.6,1.3,LONDON_1B1S,Buy,19
2017-02-02 17:30,3941.0,-3.6,RRL,Buy,20
2017-02-02 17:35,3938.0,-3.0,RRL,Buy,21
2017-02-03 15:56,3943.9,5.9,LONDON_1B1S,Buy,22
2017-02-03 17:30,3950.4,6.5,RRL,Buy,23
2017-02-03 17:35,3955.9,5.5,RRL,Buy,24
2017-02-07 15:38,3950.7,-5.2,LONDON_1B1S,Buy,25
2017-02-09 16:01,3958.2,7.5,LONDON_1B1S,Buy,26
2017-02-09 17:30,3950.4,-7.8,RRL,Buy,27
2017-02-09 17:35,3945.6,-4.8,RRL,Buy,28
2017-02-10 16:34,3948.4,2.8,LONDON_1B1S,Buy,29
2017-02-10 17:50,3963.4,15.0,RRL,Buy,30
2017-02-10 17:55,3979.4,16.0,RRL,Buy,31
2017-02-13 15:35,3987.0,7.6,LONDON_1B1S,Buy,32
2017-02-13 17:30,4005.6,18.6,RRL,Buy,33
2017-02-13 17:35,4026.6,21.0,RRL,Buy,34
2017-02-14 17:57,4035.5,8.9,LONDON_1B1S,Buy,35
2017-02-14 18:05,4089.5,54.0,RRL,Buy,36
2017-02-14 18:10,4144.1,54.6,RRL,Buy,37
2017-02-16 16:52,4126.7,-17.4,LONDON_1B1S,Sell,38
2017-02-21 15:39,4127.9,1.2,LONDON_1B1S,Buy,39
2017-02-23 16:06,4121.7,-6.2,LONDON_1B1S,Buy,40
2017-02-27 17:30,4118.7,-3.0,RRL,Buy,41
2017-02-27 17:35,4115.7,-3.0,RRL,Buy,42
2017-02-28 17:30,4109.7,-6.0,RRL,Buy,43
2017-02-28 17:35,4106.7,-3.0,RRL,Buy,44
2017-03-02 17:03,4113.8,7.1,LONDON_1B1S,Sell,45
2017-03-06 19:40,4092.2,-21.6,RRL,Buy,46
2017-03-07 15:37,4091.5,-0.7,LONDON_1B1S,Sell,47
2017-03-09 15:48,4085.2,-6.3,LONDON_1B1S,Buy,48
2017-03-10 15:40,4085.6,0.4,LONDON_1B1S,Sell,49
2017-03-13 15:25,4084.0,-1.6,LONDON_1B1S,Sell,50
2017-03-14 15:30,4077.8,-6.2,LONDON_1B1S,Sell,51
2017-03-16 15:13,4079.9,2.1,LONDON_1B1S,Sell,52
2017-03-17 18:55,4058.9,-21.0,RRL,Buy,53
2017-03-17 19:00,4037.4,-21.5,RRL,Buy,54
2017-03-20 15:11,4035.0,-2.4,LONDON_1B1S,Buy,55
2017-03-20 19:55,4020.0,-15.0,RRL,Sell,56
2017-03-21 15:05,4032.4,12.4,LONDON_1B1S,Sell,57
2017-03-23 15:40,3952.6,-2.4,LONDON_1B1S,Buy,58
2017-03-23 17:30,3992.8,-39.6,RRL,Buy,59
2017-03-23 17:35,3955.0,-37.8,RRL,Buy,60
2017-03-24 16:05,3946.4,-6.2,LONDON_1B1S,Buy,61
2017-03-24 19:55,3927.8,-18.6,RRL,Sell,62
2017-03-24 20:00,3909.2,-18.6,RRL,Sell,63
2017-03-27 14:36,3903.0,-6.2,LONDON_1B1S,Sell,64
2017-03-27 16:30,3931.8,28.8,RRL,Buy,65
2017-03-27 16:35,3951.0,19.2,RRL,Buy,66
2017-03-28 15:06,3963.4,12.4,LONDON_1B1S,Buy,67
2017-03-28 16:30,3996.4,33.0,RRL,Buy,68
2017-03-28 16:35,4028.8,32.4,RRL,Buy,69
2017-03-30 15:01,3958.2,3.8,LONDON_1B1S,Buy,70
2017-03-30 16:30,3991.6,-37.2,RRL,Buy,71
2017-03-30 16:35,3954.4,-37.2,RRL,Buy,72
2017-03-31 18:35,3927.2,-31.0,RRL,Buy,73
2017-03-31 18:40,3905.2,-22.0,RRL,Buy,74
2017-04-03 15:06,3917.6,12.4,LONDON_1B1S,Sell,75
2017-04-04 14:35,3964.4,46.8,LONDON_1B1S,Buy,76
2017-04-04 16:30,3980.0,15.6,RRL,Buy,77
2017-04-04 16:35,3992.6,12.6,RRL,Buy,78
2017-04-06 14:56,3910.4,-6.6,LONDON_1B1S,Buy,79
2017-04-06 16:30,3955.4,-37.2,RRL,Buy,80
2017-04-06 16:35,3917.0,-38.4,RRL,Buy,81
2017-04-07 14:38,3873.2,-37.2,LONDON_1B1S,Buy,82
2017-04-07 18:35,3842.2,-31.0,RRL,Buy,83
2017-04-07 18:40,3820.2,-22.0,RRL,Buy,84
2017-04-10 14:37,3745.8,-37.2,LONDON_1B1S,Buy,85
2017-04-10 16:30,3783.0,-37.2,RRL,Buy,86
2017-04-11 14:41,3740.9,-4.9,LONDON_1B1S,Sell,87
2017-04-13 15:57,3703.7,-37.2,LONDON_1B1S,Buy,88
2017-04-13 18:10,3713.6,9.9,RRL,Sell,89
2017-04-13 18:15,3723.8,10.2,RRL,Sell,90
2017-04-17 14:35,3778.4,54.6,LONDON_1B1S,Buy,91
2017-04-17 16:30,3815.0,36.6,RRL,Buy,92
2017-04-17 16:35,3852.2,37.2,RRL,Buy,93
2017-04-20 14:35,3926.0,73.8,LONDON_1B1S,Buy,94
2017-04-20 16:30,4073.6,73.8,RRL,Buy,95
2017-04-20 16:35,3999.8,73.8,RRL,Buy,96
2017-04-21 14:54,4062.1,0.9,LONDON_1B1S,Sell,97
2017-04-21 18:20,4061.2,-12.4,RRL,Sell,98
2017-04-21 18:25,4057.1,-5.0,RRL,Sell,99
2017-04-24 18:20,4048.1,-9.0,RRL,Buy,100
2017-04-25 14:35,4077.5,29.4,LONDON_1B1S,Buy,101
2017-04-25 16:30,4075.7,-1.8,RRL,Buy,102
2017-04-25 16:35,4072.7,-3.0,RRL,Buy,103
2017-04-27 15:49,4070.8,-1.9,LONDON_1B1S,Sell,104
2017-05-01 14:35,4073.8,3.0,LONDON_1B1S,Sell,105
2017-05-02 14:35,4071.0,-2.8,LONDON_1B1S,Buy,106
2017-05-04 14:46,4071.6,0.6,LONDON_1B1S,Sell,107
2017-05-05 18:55,4087.4,15.8,RRL,Buy,108
2017-05-05 19:00,4101.2,13.8,RRL,Buy,109
2017-05-08 14:35,4099.8,-1.4,LONDON_1B1S,Buy,110
2017-05-09 18:35,4115.9,16.1,RRL,Sell,111
2017-05-09 18:40,4131.3,15.4,RRL,Sell,112
2017-05-11 14:51,4094.1,-37.2,LONDON_1B1S,Sell,113
2017-05-12 16:31,4091.0,-3.1,LONDON_1B1S,Buy,114
2017-05-15 14:35,4093.0,2.0,LONDON_1B1S,Buy,115
2017-05-15 16:30,4094.8,1.8,RRL,Buy,116
2017-05-15 16:35,4096.0,1.2,RRL,Buy,117
2017-05-16 15:40,4079.8,-16.2,LONDON_1B1S,Sell,118
2017-05-18 16:30,4042.6,-18.6,RRL,Buy,119
2017-05-18 16:35,4061.2,-18.6,RRL,Buy,120
2017-05-19 14:45,4054.9,12.3,LONDON_1B1S,Buy,121
2017-05-19 16:30,4060.7,5.8,RRL,Buy,122
2017-05-19 16:35,4067.1,6.4,RRL,Buy,123
2017-05-22 14:35,4069.5,2.4,LONDON_1B1S,Buy,124
2017-05-25 16:09,4066.7,-2.8,LONDON_1B1S,Buy,125
2017-05-25 16:30,4060.7,-6.0,RRL,Buy,126
2017-05-25 16:35,4056.8,-3.9,RRL,Buy,127
