year,month,trades,net_pnl,wins,win_rate,month_str
2017,1,18,-56.7,8,44.44,2017-01
2017,2,26,163.4,15,57.69,2017-02
2017,3,30,-201.5,10,33.33,2017-03
2017,4,30,165.6,14,46.67,2017-04
2017,5,24,-24.2,13,54.17,2017-05
2017,6,44,-354.7,19,43.18,2017-06
2017,7,25,-14.1,11,44.0,2017-07
2017,8,33,64.2,15,45.45,2017-08
2017,9,34,33.9,20,58.82,2017-09
2017,10,34,197.32,21,61.76,2017-10
2017,11,31,610.74,19,61.29,2017-11
2017,12,29,185.02,16,55.17,2017-12
2018,1,32,1087.67,22,68.75,2018-01
2018,2,35,-43.84,11,31.43,2018-02
2018,3,34,-74.77,13,38.24,2018-03
2018,4,39,-132.1,16,41.03,2018-04
2018,5,31,87.9,13,41.94,2018-05
2018,6,31,-571.65,8,25.81,2018-06
2018,7,37,-47.52,13,35.14,2018-07
2018,8,37,48.6,20,54.05,2018-08
2018,9,35,-6.5,19,54.29,2018-09
2018,10,39,-89.95,12,30.77,2018-10
2018,11,27,-98.4,9,33.33,2018-11
2018,12,21,19.7,7,33.33,2018-12
2019,1,39,146.2,17,43.59,2019-01
2019,2,33,42.0,11,33.33,2019-02
2019,3,26,6.4,11,42.31,2019-03
2019,4,29,48.5,13,44.83,2019-04
2019,5,37,199.6,15,40.54,2019-05
2019,6,27,-175.09,8,29.63,2019-06
2019,7,30,28.51,14,46.67,2019-07
2019,8,27,328.35,13,48.15,2019-08
2019,9,34,-120.19,13,38.24,2019-09
2019,10,37,-74.71,14,37.84,2019-10
2019,11,29,694.28,20,68.97,2019-11
2019,12,22,36.58,14,63.64,2019-12
2020,1,34,323.39,16,47.06,2020-01
2020,2,26,-32.86,10,38.46,2020-02
2020,3,15,263.56,6,40.0,2020-03
2020,4,10,-155.26,2,20.0,2020-04
2020,5,32,-187.03,8,25.0,2020-05
2020,6,41,-505.11,13,31.71,2020-06
2020,7,32,66.12,15,46.88,2020-07
2020,8,29,28.87,15,51.72,2020-08
2020,9,32,-1.84,9,28.12,2020-09
2020,10,36,422.75,17,47.22,2020-10
2020,11,27,-194.61,10,37.04,2020-11
2020,12,26,465.97,16,61.54,2020-12
2021,1,27,-627.14,5,18.52,2021-01
2021,2,26,167.96,14,53.85,2021-02
2021,3,44,733.72,22,50.0,2021-03
2021,4,29,667.06,19,65.52,2021-04
2021,5,28,155.89,13,46.43,2021-05
2021,6,33,481.82,15,45.45,2021-06
2021,7,33,289.01,17,51.52,2021-07
2021,8,32,144.42,16,50.0,2021-08
2021,9,23,374.84,10,43.48,2021-09
2021,10,37,-50.49,16,43.24,2021-10
2021,11,25,-142.41,8,32.0,2021-11
2021,12,25,211.66,13,52.0,2021-12
2022,1,27,1152.26,13,48.15,2022-01
2022,2,26,1436.42,13,50.0,2022-02
2022,3,26,853.76,9,34.62,2022-03
2022,4,26,566.79,10,38.46,2022-04
2022,5,36,-280.69,11,30.56,2022-05
2022,6,25,756.48,10,40.0,2022-06
2022,7,35,-31.87,11,31.43,2022-07
2022,8,33,3431.04,23,69.7,2022-08
2022,9,37,-271.9,9,24.32,2022-09
2022,10,38,69.78,15,39.47,2022-10
2022,11,28,509.32,11,39.29,2022-11
2022,12,37,420.3,16,43.24,2022-12
2023,1,35,762.74,13,37.14,2023-01
2023,2,27,927.49,10,37.04,2023-02
2023,3,40,5165.04,22,55.0,2023-03
2023,4,28,1056.79,11,39.29,2023-04
2023,5,23,252.85,8,34.78,2023-05
2023,6,32,2769.91,17,53.12,2023-06
2023,7,31,2066.44,12,38.71,2023-07
2023,8,36,1630.27,15,41.67,2023-08
2023,9,37,-1203.25,7,18.92,2023-09
2023,10,41,948.57,14,34.15,2023-10
2023,11,35,9965.9,19,54.29,2023-11
2023,12,32,1008.72,15,46.88,2023-12
2024,1,33,631.17,11,33.33,2024-01
2024,2,30,5276.45,14,46.67,2024-02
2024,3,22,4767.77,14,63.64,2024-03
2024,4,36,3626.55,15,41.67,2024-04
2024,5,34,3968.19,13,38.24,2024-05
2024,6,31,8064.27,15,48.39,2024-06
2024,7,33,-2942.23,10,30.3,2024-07
2024,8,35,7499.41,16,45.71,2024-08
2024,9,24,242.69,6,25.0,2024-09
2024,10,27,6038.04,11,40.74,2024-10
2024,11,27,4310.72,9,33.33,2024-11
2024,12,29,7099.06,15,51.72,2024-12
2025,1,35,21565.03,20,57.14,2025-01
2025,2,31,7740.08,12,38.71,2025-02
2025,3,31,9072.99,12,38.71,2025-03
2025,4,39,-2251.66,11,28.21,2025-04
2025,5,34,4768.74,14,41.18,2025-05
2025,6,35,31582.52,19,54.29,2025-06
2025,7,24,6016.52,9,37.5,2025-07
2025,8,26,43063.82,16,61.54,2025-08
2025,9,28,-449.42,9,32.14,2025-09
2025,10,36,-6666.53,11,30.56,2025-10
2025,11,26,43921.45,15,57.69,2025-11
2025,12,29,-3876.0,7,24.14,2025-12
2026,1,36,6397.17,14,38.89,2026-01
2026,2,29,25082.5,14,48.28,2026-02
2026,3,7,7558.87,4,57.14,2026-03
