Id,Start,Name,Impact,Currency
2362f475-4325-4fee-92aa-545af8fb2198,01/03/2025 15:00:00,ISM Manufacturing PMI,HIGH,USD
105499e3-35e1-40df-98bc-38890c27962b,01/07/2025 15:00:00,ISM Services PMI,HIGH,USD
3ac0b877-9747-4cb6-a0d1-4f091c8dd307,01/08/2025 13:15:00,ADP Employment Change,HIGH,USD
d301ffa4-1fe0-4d34-ad52-e43bd9b78e01,01/08/2025 19:00:00,FOMC Minutes,HIGH,USD
716a5ede-3045-42d4-8be6-21a2fc9b1b37,01/09/2025 00:00:00,National Day of Mourning,HIGH,USD
430ba484-20ec-4365-94d3-38edfdc4863b,01/10/2025 13:30:00,Average Hourly Earnings (MoM),HIGH,USD
36657061-3131-4ea8-afd4-266bc09a2dde,01/10/2025 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
c5140cfb-069d-48c5-9659-8fa5ccf797fa,01/10/2025 13:30:00,Nonfarm Payrolls,HIGH,USD
720050da-55c0-460c-bbb3-be95a588b545,01/10/2025 15:00:00,Michigan Consumer Sentiment Index,HIGH,USD
1c83b11f-b501-45a4-8c30-e5fc43321145,01/14/2025 13:30:00,Producer Price Index ex Food & Energy (YoY),HIGH,USD
7c7849c7-da50-4ee9-8012-1adef44a424c,01/15/2025 13:30:00,Consumer Price Index (MoM),HIGH,USD
c1ea5175-853e-416f-b55a-75b68467138f,01/15/2025 13:30:00,Consumer Price Index (YoY),HIGH,USD
de242adf-ebaf-45ba-a815-042008e5e770,01/15/2025 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
047a9c07-5515-4e0e-b918-105687befb95,01/15/2025 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
a7ed3626-36c4-4c71-938a-2f39940dd46d,01/16/2025 13:30:00,Retail Sales (MoM),HIGH,USD
79026add-6b5a-4b5d-8be4-39407e765b44,01/16/2025 13:30:00,Retail Sales Control Group,HIGH,USD
8edb73a2-f219-4fa4-b682-5b70590fcf9d,01/20/2025 16:40:00,Presidential Inauguration,HIGH,USD
3d974595-2421-4b79-a79f-3574cfa773a8,01/23/2025 16:00:00,President Trump speech,HIGH,USD
ab6df7fd-4e23-4a36-b42a-9331dc433ae5,01/24/2025 14:45:00,S&P Global Manufacturing PMI,HIGH,USD
f04bf0b5-ac54-43d3-aa1f-531556e067d3,01/24/2025 14:45:00,S&P Global Services PMI,HIGH,USD
5bd5b78a-772f-4e9c-ae01-754e80d70ebf,01/29/2025 19:00:00,Fed Interest Rate Decision,HIGH,USD
d03b9ba6-6cc5-4b75-b58a-04d204682cd8,01/29/2025 19:00:00,Fed Monetary Policy Statement,HIGH,USD
10eede05-8103-4117-9661-5ba7aef1ea61,01/29/2025 19:30:00,FOMC Press Conference,HIGH,USD
f02bcc74-dd17-4b6f-8c96-7db4679b4021,01/30/2025 13:30:00,Gross Domestic Product Annualized,HIGH,USD
a8898772-6d1b-464e-a053-3b387754c4df,01/31/2025 13:30:00,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
e8781fc8-61dc-45ea-ba7e-57ff06433346,01/31/2025 13:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
b33dbfca-6bfc-4ad2-bbf0-b06691b68f31,02/03/2025 15:00:00,ISM Manufacturing PMI,HIGH,USD
c46434ec-d0e3-4676-ba99-08432dadbd58,02/05/2025 13:15:00,ADP Employment Change,HIGH,USD
e70982a0-b8a9-4249-8e4b-ec34171f092e,02/05/2025 15:00:00,ISM Services PMI,HIGH,USD
a9148df7-5865-4b1d-8c17-291b925b35c1,02/07/2025 13:30:00,Average Hourly Earnings (MoM),HIGH,USD
ffb3f059-5dc5-42ca-a114-abcbcfcad1d2,02/07/2025 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
c06364ad-b7e3-4a6e-9163-be73d320fba9,02/07/2025 13:30:00,Nonfarm Payrolls,HIGH,USD
839655a8-eabb-4e72-8ddb-84972c8597a5,02/07/2025 15:00:00,Michigan Consumer Sentiment Index,HIGH,USD
a7923841-9267-41eb-b8c5-9cbcea061f6b,02/11/2025 15:00:00,Fed's Chair Powell testifies,HIGH,USD
22eb7c21-8641-462d-b6c0-bd32b0bcd651,02/12/2025 13:30:00,Consumer Price Index (MoM),HIGH,USD
7d96edfb-1b2f-4138-8d19-f0be6e7340dc,02/12/2025 13:30:00,Consumer Price Index (YoY),HIGH,USD
da0fd15b-e90f-4e6a-a90b-c9d9b315bef6,02/12/2025 13:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
c4300dcd-e8be-48e1-b46a-e1ec475f75d2,02/12/2025 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
a5503222-73a0-4bcc-8025-17c5b3891d77,02/12/2025 15:00:00,Fed's Chair Powell testifies,HIGH,USD
5b5089fb-3e37-4898-8ce8-51ff0287368d,02/13/2025 13:30:00,Producer Price Index ex Food & Energy (YoY),HIGH,USD
57082dab-bdd0-4eb3-94ad-d688081c0063,02/14/2025 13:30:00,Retail Sales (MoM),HIGH,USD
79a19d18-b4a6-42fc-a50d-a5ce25313657,02/14/2025 13:30:00,Retail Sales Control Group,HIGH,USD
c88c84a6-8b05-4971-b2a2-f7cda0c2af0b,02/19/2025 19:00:00,FOMC Minutes,HIGH,USD
c47133da-844f-4c66-a9bb-cfb7bd6390c9,02/21/2025 14:45:00,S&P Global Manufacturing PMI,HIGH,USD
4a9d519a-6271-4c3f-b31f-367e0952de47,02/21/2025 14:45:00,S&P Global Services PMI,HIGH,USD
8b277346-780c-47e6-bc1c-04d6734258fe,02/24/2025 18:00:00,President Trump speech,HIGH,USD
e3866f85-f025-47eb-ab13-54ce60d13f2c,02/26/2025 16:00:00,President Trump speech,HIGH,USD
d9bdcd7a-1766-4b64-9c3b-8d379180c616,02/27/2025 13:30:00,Gross Domestic Product Annualized,HIGH,USD
ac537633-a76c-4ea2-8c05-c8ce6d0e621d,02/27/2025 14:00:00,President Trump speech,HIGH,USD
278a4843-a27b-4f5e-afc8-2062c474f1a3,02/27/2025 18:50:00,President Trump speech,HIGH,USD
aadbf56d-7260-44cb-93df-a139e0574ef4,02/28/2025 13:30:00,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
4074ffee-8346-4d8c-8b89-58508fd3329b,02/28/2025 13:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
71cc1a09-1021-4402-906d-f3f1a30d8733,02/28/2025 18:00:00,President Trump speech,HIGH,USD
23b6d1e8-407a-49cb-bef3-2f76f91f018b,03/03/2025 15:00:00,ISM Manufacturing PMI,HIGH,USD
a5ab7cc1-934c-432b-aa8d-a86aa00d6679,03/05/2025 02:00:00,President Trump speech,HIGH,USD
713adbae-6adc-423d-81f4-4a59daabc2b0,03/05/2025 13:15:00,ADP Employment Change,HIGH,USD
88a597c3-2e47-4eb3-afaa-a55f5f118f6f,03/05/2025 15:00:00,ISM Services PMI,HIGH,USD
1e62a2ce-fa1d-4051-886a-045b8ffa6f98,03/07/2025 13:30:00,Average Hourly Earnings (MoM),HIGH,USD
055c7f87-84ef-403a-bb32-9b0e6264a9c1,03/07/2025 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
c41049ba-1438-4580-b908-cf4f1cc3038e,03/07/2025 13:30:00,Nonfarm Payrolls,HIGH,USD
38d67c3a-7e8a-4f61-bffc-16a41f3b76c2,03/07/2025 17:30:00,Fed's Chair Powell speech,HIGH,USD
8f130fc0-2a5c-4fe6-b87c-76b29c4f087f,03/12/2025 12:30:00,Consumer Price Index (MoM),HIGH,USD
29175010-d058-4796-9c99-a96a06417620,03/12/2025 12:30:00,Consumer Price Index (YoY),HIGH,USD
79ccd3d5-bedd-4081-8b58-55ad563ecbbc,03/12/2025 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
e1171739-2014-4e97-8b40-0627e8f8b46b,03/12/2025 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
3e6db202-9a90-41e1-8d8b-82c65f97b799,03/13/2025 12:30:00,Producer Price Index ex Food & Energy (YoY),HIGH,USD
35b848ac-bf23-4432-8157-ed50d874fbd8,03/14/2025 14:00:00,Michigan Consumer Sentiment Index,HIGH,USD
7af39cfc-5e15-4213-9c09-5027a9664ca2,03/17/2025 12:30:00,Retail Sales (MoM),HIGH,USD
a833fe58-0168-4a43-85be-92c049030fdd,03/17/2025 12:30:00,Retail Sales Control Group,HIGH,USD
a02543c0-7dae-4db2-9270-793995fb0f83,03/19/2025 18:00:00,Fed Interest Rate Decision,HIGH,USD
f2a3c944-909b-455c-8d44-7cb34c7be5eb,03/19/2025 18:00:00,Fed Monetary Policy Statement,HIGH,USD
10c4ed07-9183-4d96-ae6e-6853e404fec1,03/19/2025 18:00:00,FOMC Economic Projections,HIGH,USD
6d8289c5-3b07-44a8-ac71-4ad6ffadfc2c,03/19/2025 18:00:00,Interest Rate Projections - 1st year,HIGH,USD
ce112c28-e177-43bf-b249-a0613bc07fb6,03/19/2025 18:00:00,Interest Rate Projections - 2nd year,HIGH,USD
25df6ec9-94f3-47c3-a91e-3452e2b2ee58,03/19/2025 18:00:00,Interest Rate Projections - Current,HIGH,USD
32772c39-a893-414b-a78f-01e11af2bd36,03/19/2025 18:00:00,Interest Rate Projections - Longer,HIGH,USD
89f9e00a-7094-4fda-8384-cde9cddadad2,03/19/2025 18:30:00,FOMC Press Conference,HIGH,USD
e84e3dbb-d6d4-4cd4-8ed0-059804e4bfaf,03/20/2025 14:40:00,President Trump speech,HIGH,USD
e2a227d1-d6bb-4be5-8f91-f89321fe076b,03/21/2025 15:00:00,President Trump speech,HIGH,USD
6207f2a4-e231-40ed-8c89-6596ea0ec9c7,03/24/2025 13:45:00,S&P Global Manufacturing PMI,HIGH,USD
65207f9f-72e7-4c90-aff3-857fb9ed58f2,03/24/2025 13:45:00,S&P Global Services PMI,HIGH,USD
aa5c8c72-6143-461f-a110-313127d86b2c,03/27/2025 12:30:00,Gross Domestic Product Annualized,HIGH,USD
846e2bcf-9fbc-49d4-987f-4a553ced77a5,03/28/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
f6ef9208-986e-4110-831d-b34525c4925b,03/28/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
44260c1b-4c3a-47db-8e15-a50152462bec,04/01/2025 14:00:00,ISM Manufacturing PMI,HIGH,USD
13f82f3e-f015-4c8a-9f8a-ffe0535f0103,04/01/2025 22:20:00,Fed's Goolsbee speech,HIGH,USD
